Tamanho,Metodo,Tempo_s,GFLOPS,Delta
512,Sequencial,0.052728,5.09,0.0
512,CUDA_Naive,0.004194,64.00,6.338262e-16
512,CUDA_Tiled,0.004419,60.75,6.338262e-16
1024,Sequencial,1.104439,1.94,0.0
1024,CUDA_Naive,0.031694,67.76,6.569088e-16
1024,CUDA_Tiled,0.032386,66.31,6.569088e-16
2048,Sequencial,8.346979,2.06,0.0
2048,CUDA_Naive,0.377850,45.47,7.999075e-16
2048,CUDA_Tiled,0.189828,90.50,7.999075e-16
4096,Sequencial,67.863401,2.03,0.0
4096,CUDA_Naive,1.596952,86.06,6.771250e-16
4096,CUDA_Tiled,1.629417,84.35,6.771250e-16
