Tamanho,Tempo_s,GFLOPS
512,0.019184,13.993002
1024,0.145707,14.738383
2048,2.595323,6.619550
4096,25.581874,5.372513
512,0.020143,13.326668
1024,0.150078,14.309110
2048,2.699136,6.365913
4096,26.093511,5.268150
512,0.018417,14.575411
1024,0.141336,15.203994
2048,2.517463,6.824177
4096,24.814418,5.539809
